Sequence name,Lineage,Probability,Most common countries,Number of taxa,Date range,Days since last sampling
sample_AECOM-001/ARTIC/nanopolish,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",28
sample_AECOM-002/ARTIC/nanopolish,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",28
sample_AECOM-003/ARTIC/nanopolish,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",49
sample_AECOM-004/ARTIC/nanopolish,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",28
sample_AECOM-005/ARTIC/nanopolish,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",28
sample_AECOM-006/ARTIC/nanopolish,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",49
sample_AECOM-007/ARTIC/nanopolish,B.1.26,1.0,"USA, New_Zealand, India",106,"March-17, July-26",52
sample_AECOM-008/ARTIC/nanopolish,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",49
sample_AECOM-009/ARTIC/nanopolish,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",28
sample_AECOM-010/ARTIC/nanopolish,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",28
sample_AECOM-011/ARTIC/nanopolish,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",28
sample_AECOM-012/ARTIC/nanopolish,B.1.26,1.0,"USA, New_Zealand, India",106,"March-17, July-26",52
sample_AECOM-013/ARTIC/nanopolish,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",49
sample_AECOM-016/ARTIC/nanopolish,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",49
sample_AECOM-017/ARTIC/nanopolish,B.1.26,1.0,"USA, New_Zealand, India",106,"March-17, July-26",52
sample_AECOM-018/ARTIC/nanopolish,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",28
sample_AECOM-020/ARTIC/nanopolish,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",28
sample_AECOM-021/ARTIC/nanopolish,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",28
